util_lo,util_hi,orig_mean_fidelity,orig_count,new_mean_fidelity,new_count
0.32,0.34,nan,0,nan,0
0.34,0.36000000000000004,nan,0,nan,0
0.36000000000000004,0.38000000000000006,nan,0,nan,0
0.38000000000000006,0.4000000000000001,nan,0,nan,0
0.4000000000000001,0.4200000000000001,nan,0,nan,0
0.4200000000000001,0.4400000000000001,0.8382235728990675,1,nan,0
0.4400000000000001,0.46000000000000013,nan,0,nan,0
0.46000000000000013,0.48000000000000015,nan,0,0.965065090434384,1
0.48000000000000015,0.5000000000000002,nan,0,nan,0
0.5000000000000002,0.5200000000000002,0.8602921980616041,7,0.8718183964210611,1
0.5200000000000002,0.5400000000000003,nan,0,0.9328626104512798,3
0.5400000000000003,0.5600000000000003,0.8461672134291769,8,0.8987837782168585,3
0.5600000000000003,0.5800000000000003,0.8586954118915728,6,0.8705185280310878,11
0.5800000000000003,0.6000000000000003,0.9020709191403036,2,0.8924642391677402,5
